,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,name,artist_name
0,0.793,0.449,-5.719,0.033,0.706,0.0,0.196,0.738,116.968,SeÃ±orita,Boyce Avenue
1,0.225,0.983,-1.317,0.0732,0.0143,1.85e-06,0.305,0.397,102.789,Chinatown,Crash Midnight
2,0.648,0.767,-5.052,0.0608,0.0219,0.0,0.19,0.796,141.906,Boyfriend #2,Pleasure P
3,0.702,0.794,-5.913,0.0562,0.00715,4.56e-05,0.11,0.37,103.972,Beautiful People (feat. Khalid) - NOTD Remix,Ed Sheeran
4,0.716,0.628,-4.957,0.0425,0.216,6.25e-06,0.113,0.386,144.984,Goodbyes,Steady NY$e
5,0.76,0.497,-10.309,0.0674,0.331,0.0,0.0713,0.428,110.965,I DON'T CARE,Quadeca
6,0.383,0.949,-4.106,0.168,0.00262,0.0,0.0998,0.758,94.142,Ransom,Fame on Fire
7,0.585,0.517,-10.269,0.0275,0.0494,0.0235,0.245,0.714,131.412,How Do You Sleep? - Remastered 2010,John Lennon
8,0.845,0.597,-8.005,0.103,0.0159,0.00388,0.0593,0.353,129.987,Old Town Road (Remix),Workout Music 
9,0.736,0.468,-8.572,0.195,0.11,0.0,0.107,0.417,80.505,Bad Guy,anders
10,0.692,0.666,-5.324,0.132,0.0877,3.53e-06,0.0591,0.823,199.879,Callaita,Tomy DJ
11,0.841,0.385,-10.637,0.0636,0.0294,0.266,0.363,0.565,96.059,Loco Contigo - Remix,Dj Doraemon
12,0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,Someone You Loved - Future Humans Remix,Lewis Capaldi
13,0.734,0.638,-5.224,0.0872,0.0331,6.8e-06,0.0936,0.735,175.986,Otro Trago (Remix) - English Version,Ralph Larenzo
14,0.824,0.212,-10.775,0.0494,0.0695,0.896,0.105,0.157,100.498,Money In The Grave - Instrumental,DJ Boomin
15,0.671,0.14,-18.13,0.0615,0.631,0.934,0.11,0.0987,93.411,No Guidance (Instrumental),i-genius
16,0.627,0.233,-7.806,0.0472,0.945,0.807,0.115,0.156,100.164,La Cancion del Emperador - Remastered,Andres Segovia Torres
17,0.604,0.754,-4.243,0.119,0.274,3.53e-06,0.0947,0.28,179.836,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]",Post Malone
18,0.696,0.872,-2.683,0.077,0.315,0.0,0.229,0.836,157.012,LALALA,TWICE
19,0.776,0.305,-11.794,0.0887,0.07,0.913,0.106,0.704,158.04,Truth Hurts - Instrumental,INST
20,0.619,0.654,-10.23,0.0514,0.0172,0.00012,0.319,0.105,124.019,Piece Of Your Heart - CYA Remix,MEDUZA
21,0.69,0.394,-10.922,0.0448,0.877,0.013,0.114,0.76,81.64,Panini Pua Kea,Israel Kamakawiwo'ole
22,0.8,0.789,-3.819,0.0585,0.159,0.0,0.0891,0.583,91.979,No Me Conoce - Remix,Jhay Cortez
23,0.573,0.734,-4.928,0.0933,0.0128,3.39e-05,0.0479,0.753,100.126,Soltera Va - Remix,DJ Alex
24,0.736,0.468,-8.572,0.195,0.11,0.0,0.107,0.417,80.505,Bad Guy,anders
25,0.582,0.741,-6.936,0.0242,0.000429,0.0681,0.281,0.571,106.503,If I Can't Have You,Bee Gees
26,0.403,0.161,-18.328,0.04,0.913,0.0,0.278,0.296,62.008,Dance Monkey,Albertis Lammana
27,0.738,0.498,-6.373,0.155,0.237,0.0,0.164,0.809,95.042,It's You,Sam Kim
28,0.782,0.78,-7.742,0.0455,0.00302,0.869,0.381,0.605,97.969,Con Calma,Athe
29,0.458,0.339,-12.043,0.0658,0.856,0.0,0.121,0.477,89.104,QuÃ© Pretendes,Nous Nizzy
30,0.65,0.307,-17.301,0.0341,0.263,0.589,0.0867,0.142,126.048,Takeaway,K3DNO
31,0.537,0.931,-5.214,0.134,0.0573,9.14e-05,0.0956,0.551,140.028,7 Rings,ChuggaBoom
32,0.702,0.561,-15.507,0.0269,0.0612,0.886,0.226,0.564,109.982,Never Really Over,Mozell Graham
33,0.683,0.46,-9.492,0.0997,0.76,0.763,0.147,0.412,63.365,Summer Days,S-Ilo
34,0.4,0.598,-7.439,0.0586,0.714,0.0,0.689,0.453,165.26,Otro Trago - AcÃºstico En Vivo,Sech
35,0.44,0.842,-13.408,0.037,0.000126,1.68e-05,0.0929,0.332,104.115,Antisocial,Anthrax
36,0.559,0.942,-5.388,0.0348,0.000242,0.0154,0.327,0.732,137.96,Sucker,Our Last Night
37,0.806,0.558,-6.46,0.0683,0.482,0.0,0.0618,0.678,95.016,"fuck, i'm lonely (with Anne-Marie) - from â13 Reasons Why: Season 3â",Lauv
38,0.757,0.759,-6.387,0.037,0.0636,0.000586,0.161,0.326,109.988,Higher Love,Charming Horses
39,0.728,0.668,-6.072,0.0731,0.0071,0.0,0.13,0.698,84.975,You Need To Calm Down,Taylor Swift
40,0.395,0.335,-6.115,0.0275,0.384,0.0,0.195,0.208,95.929,Shallow,Pentatonix
41,0.698,0.66,-7.883,0.052,0.0226,0.0,0.0622,0.451,159.949,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez
42,0.939,0.481,-8.736,0.253,0.344,0.0,0.129,0.822,101.995,Con Alturax,Fer Palacio
43,0.646,0.792,-5.679,0.0661,0.0108,0.0,0.587,0.37,105.052,One Thing Right - Koni Remix,Marshmello
44,0.775,0.718,-6.585,0.0437,0.228,0.0,0.164,0.962,100.0,Te Robare,Bebe DJ
45,0.493,0.4,-8.117,0.0261,0.0425,1.47e-06,0.133,0.15,91.004,Happier - Acoustic,Ed Sheeran
46,0.753,0.43,-9.864,0.101,0.421,1.35e-06,0.0913,0.361,76.964,Call You Mine,sKitz Kraven
47,0.468,0.678,-5.556,0.351,0.471,0.0,0.3,0.456,81.769,Cross Me,Wayne
48,0.8,0.555,-5.944,0.0782,0.127,0.0,0.208,0.549,154.406,God's Plan,Kidz Bop Kids
49,0.527,0.538,-7.434,0.104,0.468,0.0,0.0825,0.389,117.319,Sad Forever,Lauv
50,0.482,0.881,-3.707,0.0627,0.0135,1.89e-06,0.122,0.296,128.133,Rockstar,YONAKA
51,0.576,0.989,-1.909,0.112,0.00252,0.0032,0.0243,0.352,135.093,Psychosocial,Slipknot
52,0.669,0.125,-20.37,0.0604,0.996,0.942,0.125,0.173,108.165,In My Feelings,Ashton Foster
53,0.669,0.563,-8.37,0.0334,0.269,0.0,0.114,0.487,130.01,Better Now - Recorded At Spotify Studios NYC,Troye Sivan
54,0.826,0.656,-8.529,0.0617,0.0101,0.000113,0.0272,0.852,129.963,I Like It,Sammie
55,0.59,0.919,-3.314,0.146,0.158,0.000214,0.0595,0.133,126.926,One Kiss (with Dua Lipa) - R3HAB Remix,Calvin Harris
56,0.393,0.276,-15.682,0.136,0.591,9.54e-06,0.113,0.443,46.212,IDGAF,Jacquees
57,0.716,0.652,-7.909,0.398,0.102,0.0,0.11,0.494,109.295,FRIENDS (feat. kiLL edward),J. Cole
58,0.612,0.907,-4.857,0.0274,0.167,0.0286,0.101,0.649,121.508,Havana,Pigeons Playing Ping Pong
59,0.445,0.542,-9.591,0.115,0.238,0.0,0.0931,0.174,167.995,Lucid Dreams,Kid Travis
60,0.784,0.858,-7.582,0.103,0.00182,0.927,0.0538,0.636,131.979,Nice for What,Fat Ous Maphia
61,0.491,0.481,-5.762,0.039,0.0657,0.000167,0.105,0.0546,124.858,Girls Like You,The Naked And Famous
62,0.535,0.933,-3.734,0.0484,3.81e-05,0.0154,0.0814,0.548,106.985,The Middle,Our Last Night
63,0.564,0.671,-5.207,0.0776,0.0251,0.0,0.1,0.577,77.479,All The Stars In Texas,Ludo
64,0.775,0.572,-6.498,0.0509,0.243,0.0,0.298,0.483,121.888,No Tears Left to Cry,Mini Pop Kids
65,0.611,0.39,-5.861,0.116,0.625,0.0,0.118,0.617,163.897,XO,EDEN
66,0.811,0.721,-5.739,0.099,0.0648,0.015,0.263,0.346,124.952,Moonlight,Gaullin
67,0.645,0.518,-9.02,0.0366,0.515,0.000396,0.105,0.224,110.898,Look Alive,Guster
68,0.679,0.645,-8.725,0.268,0.317,0.0,0.261,0.399,136.987,These Days,Jake Paul
69,0.669,0.733,-4.383,0.0317,0.0223,6.36e-06,0.0663,0.196,101.948,Te Bote Punjabi (Remix),Kiat
70,0.557,0.428,-11.299,0.137,0.0673,0.0019,0.139,0.0996,103.009,Mine (feat. Drake),BeyoncÃ©
71,0.673,0.682,-5.837,0.0562,0.00888,0.0,0.224,0.204,119.997,Youngblood,Kidz Bop Kids
72,0.842,0.836,-4.667,0.0569,0.0223,0.0,0.308,0.772,115.977,New Rules,Kidz Bop Kids
73,0.554,0.959,-4.786,0.0403,0.000142,0.000504,0.286,0.349,96.005,Shape of You - Rock,Our Last Night
74,0.786,0.534,-9.182,0.124,0.0169,0.856,0.0678,0.279,138.997,Love Lies,Mathii3u
75,0.383,0.595,-5.908,0.0409,0.0875,2.83e-05,0.238,0.235,104.194,Meant To Be,Arc North
76,0.695,0.39,-12.538,0.0722,0.0571,0.0106,0.206,0.289,140.002,Jocelyn Flores,Jebase
77,0.599,0.317,-11.212,0.174,0.748,0.0,0.111,0.203,148.09,Perfecto,Mac Miller
78,0.58,0.981,-3.529,0.048,3.01e-05,0.00353,0.373,0.39,105.011,Taste of Regret,Of Mice & Men
79,0.784,0.486,-6.497,0.0475,0.0538,0.497,0.101,0.0894,110.964,Solo,Future
80,0.462,0.922,-3.618,0.156,0.00402,0.00462,0.0944,0.312,144.082,I Fall Apart,Now or Never
81,0.686,0.61,-7.882,0.0731,0.0249,1.81e-05,0.123,0.291,105.002,Nevermind (Wankelmut Remix),Dennis Lloyd
82,0.72,0.914,-3.682,0.0435,0.0333,0.0,0.132,0.68,95.976,Ãchame La Culpa - Not On You Remix,Luis Fonsi
83,0.622,0.671,-7.164,0.0569,0.244,0.0,0.121,0.421,89.787,Eastside,Kidz Bop Kids
84,0.582,0.964,-4.206,0.0291,0.00506,0.463,0.0967,0.491,125.997,Never Be The Same - ALPHA 9 Remix,Tritonal
85,0.492,0.98,-3.323,0.0564,0.0236,0.000666,0.326,0.466,144.057,Wolves (You Got Me),DREAMERS
86,0.547,0.308,-11.75,0.0377,0.505,0.0,0.109,0.41,114.719,Changes - 2015 Remaster,David Bowie
87,0.616,0.457,-6.761,0.034,0.148,0.0,0.125,0.208,119.646,In My Mind,Heather Headley
88,0.405,0.152,-13.901,0.0395,0.979,9.07e-05,0.104,0.383,61.34,River,Joni Mitchell
89,0.472,0.652,-10.171,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,Ordinary World,Duran Duran
90,0.665,0.65,-8.027,0.524,0.0151,0.0,0.197,0.662,154.945,Sicko Mode Freestyle,Cody Ray
91,0.164,0.626,-24.336,0.0943,0.000945,0.879,0.426,0.0216,126.684,Thunderstorm In The Cabin,Mother Nature Sound FX
92,0.506,0.449,-7.371,0.0499,0.23,0.0,0.0646,0.424,174.161,Me Niego (VersiÃ³n Pop),Reik
93,0.606,0.913,-5.88,0.0745,0.00159,0.0,0.0814,0.75,125.065,Jackie Chan - Sebastian Perez Remix,TiÃ«sto
94,0.779,0.877,-2.766,0.157,0.0447,0.0,0.0462,0.934,104.99,Finesse,Kidz Bop Kids
95,0.156,0.314,-10.92,0.0354,0.919,0.701,0.109,0.116,88.49,Call Out My Name,Brooklyn Duo
96,0.927,0.553,-7.13,0.331,0.208,0.0,0.117,0.656,99.984,36 Zips - Ric Flair Drip Remix,Klout
97,0.493,0.4,-8.117,0.0261,0.0425,1.47e-06,0.133,0.15,91.004,Happier - Acoustic,Ed Sheeran
98,0.496,0.0766,-16.565,0.0481,0.975,3.57e-05,0.124,0.432,120.288,Too Good at Goodbyes,Michkey Efronneu
99,0.475,0.659,-5.01,0.104,0.535,0.0,0.0843,0.697,154.262,Just One Day - From âFreaky Fridayâ the Disney Channel Original Movie,Cozi Zuehlsdorff
100,0.73,0.634,-5.084,0.0509,0.181,2.24e-06,0.118,0.182,126.022,Believer - Kaskade Remix,Imagine Dragons
101,0.77,0.734,-8.029,0.135,0.602,0.0311,0.143,0.686,93.08,Fefe Naa Efe,Fela Kuti
102,0.447,0.74,-6.607,0.0475,0.0122,0.000228,0.0958,0.102,93.759,Rise Up,Imagine Dragons
103,0.533,0.72,-4.764,0.0338,0.00974,1.74e-06,0.252,0.338,128.036,Body Back (feat. Maia Wright) - MitiS Remix,Gryffin
104,0.489,0.818,-6.107,0.0962,0.00189,0.0,0.315,0.579,149.991,Xo Tour Llif3 (Rock Version),Jesse Collins
105,0.616,0.862,-4.162,0.102,0.148,0.000416,0.117,0.839,206.132,Sin Pijama,Miway
106,0.756,0.887,-4.131,0.13,0.00104,0.0126,0.118,0.246,122.958,2002 - KREAM Remix,Anne-Marie
107,0.822,0.834,-6.294,0.219,0.0352,7.05e-06,0.115,0.832,80.033,Nonstop,Spinz
108,0.701,0.456,-18.437,0.249,0.175,0.0,0.369,0.711,77.982,Fuck Love,Tyler
109,0.399,0.837,-3.83,0.0463,0.00227,1.27e-06,0.161,0.351,149.868,In My Blood,Black Stone Cherry
110,0.478,0.926,-4.728,0.0753,0.0011,0.0,0.447,0.312,92.994,Silence Speaks (feat. Oli Sykes),While She Sleeps
111,0.523,0.504,-8.878,0.0366,0.539,0.0,0.183,0.333,74.99,God is a woman,Matt Stell
112,0.517,0.38,-9.072,0.264,0.33,0.0,0.35,0.519,80.409,DÃ©jala que vuelva,Laura Naranjo
113,0.823,0.403,-5.825,0.0795,0.139,0.0,0.0278,0.517,120.877,Flames,11:11
114,0.757,0.724,-6.168,0.0682,0.238,1.17e-05,0.104,0.632,109.948,What Lovers Do (feat. SZA) - A-Trak Remix,Maroon 5
115,0.828,0.794,-4.25,0.204,0.177,7.47e-06,0.0724,0.626,95.971,"Taki Taki (with Selena Gomez, Ozuna, feat. Cardi B)",DJ Snake
116,0.773,0.641,-8.049,0.0456,0.0512,0.000365,0.0791,0.944,109.141,Let Me Go,Cake
117,0.654,0.781,-4.628,0.0514,0.496,0.0,0.104,0.699,152.013,Feel It Still - Gryffin Remix,Portugal. The Man
118,0.388,0.552,-7.189,0.326,0.108,0.0,0.106,0.0504,80.073,Pray For Me,Lil' Kim
119,0.803,0.769,-4.806,0.0321,0.134,0.00114,0.443,0.881,98.341,Walk It Down - 2005 Remaster,Talking Heads
120,0.718,0.436,-13.524,0.032,0.339,0.0,0.0504,0.962,109.437,Him,Rupert Holmes
121,0.623,0.524,-6.881,0.0329,0.497,0.0,0.0874,0.792,90.009,Candy Paint - Acoustic,Adam Christopher
